condition,method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate,repeat
shuffled_group,group_calibrated_hybrid,10,0.10682640198320789,0.21798579181693295,0.0,34
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,34
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,34
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,34
shuffled_group,group_oracle_rate,10,0.15758706265801312,0.16722513114212773,0.0,35
shuffled_group,group_mean,10,0.15470408903279445,0.17010810476734642,0.0,35
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,35
shuffled_group,group_calibrated_hybrid,10,0.08131181235618541,0.24350038144395544,0.0,35
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,35
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,35
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,35
shuffled_group,group_mean,10,0.1317573132561017,0.19305488054403913,0.0,36
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,36
shuffled_group,group_oracle_rate,10,0.1152269649917556,0.20958522880838526,0.0,36
shuffled_group,group_calibrated_hybrid,10,0.10212352035833253,0.22268867344180832,0.0,36
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,36
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,36
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,36
shuffled_group,group_mean,10,0.16770065995553307,0.1571115338446078,0.0,37
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,37
shuffled_group,group_oracle_rate,10,0.09994176030086076,0.22487043349928007,0.0,37
shuffled_group,group_calibrated_hybrid,10,0.08179642174882994,0.24301577205131092,0.0,37
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,37
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,37
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,37
shuffled_group,group_oracle_rate,10,0.20796154441303488,0.11685064938710595,0.3,38
shuffled_group,group_calibrated_hybrid,10,0.17852445997444277,0.1462877338256981,0.1,38
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,38
shuffled_group,group_mean,10,0.07596443767274955,0.24884775612739132,0.0,38
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,38
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,38
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,38
shuffled_group,group_mean,10,0.2079616591535777,0.11685053464656314,0.0,39
shuffled_group,group_calibrated_hybrid,10,0.14859732265568415,0.17621487114445672,0.0,39
shuffled_group,group_oracle_rate,10,0.12931580732064746,0.19549638647949338,0.0,39
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,39
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,39
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,39
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,39
shuffled_group,group_mean,10,0.1314324129587336,0.19337978084140725,0.1,40
shuffled_group,group_calibrated_hybrid,10,0.10738244566917024,0.21742974813097066,0.1,40
shuffled_group,group_oracle_rate,10,0.13421654878459433,0.19059564501554654,0.0,40
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,40
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,40
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,40
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,40
shuffled_group,group_mean,10,0.13433363365557702,0.19047856014456382,0.0,41
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,41
shuffled_group,group_calibrated_hybrid,10,0.10703847468024918,0.21777371911989168,0.0,41
shuffled_group,group_oracle_rate,10,0.09965366267138477,0.2251585311287561,0.0,41
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,41
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,41
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,41
shuffled_group,group_oracle_rate,10,0.13538513640445352,0.18942705739568735,0.0,42
shuffled_group,group_mean,10,0.11787541267849226,0.20693678112164857,0.0,42
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,42
shuffled_group,group_calibrated_hybrid,10,0.09748011534944169,0.2273320784506992,0.0,42
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,42
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,42
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,42
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,43
shuffled_group,group_mean,10,0.10576778610869875,0.2190444076914421,0.0,43
shuffled_group,group_oracle_rate,10,0.09854878746950538,0.22626340633063546,0.0,43
shuffled_group,group_calibrated_hybrid,10,0.0960631435128264,0.22874905028731446,0.0,43
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,43
