condition,target_id,method,oracle_candidate,oracle_group,oracle_tm_like,selected_top1_candidate,selected_top1_group,selected_best_in_top5_candidate,selected_best_group,best_of_5_tm_like,tm_like_regret,oracle_in_top5
mask_oracle_group,R1126,group_calibrated_hybrid,casp15_R1126TS232_4,TS232,0.3693317530910113,casp15_R1126TS238_3,TS238,casp15_R1126TS489_5,TS489,0.0342285133130794,0.3351032397779319,False
mask_oracle_group,R1128,hybrid,casp15_R1128TS232_1,TS232,0.6167446374930202,casp15_R1128TS163_1,TS163,casp15_R1128TS163_1,TS163,0.0557752659366336,0.5609693715563866,False
mask_oracle_group,R1128,compact,casp15_R1128TS232_1,TS232,0.6167446374930202,casp15_R1128TS163_1,TS163,casp15_R1128TS163_1,TS163,0.0557752659366336,0.5609693715563866,False
mask_oracle_group,R1128,low_clash,casp15_R1128TS232_1,TS232,0.6167446374930202,casp15_R1128TS029_1,TS029,casp15_R1128TS229_1,TS229,0.0582931867320877,0.5584514507609325,False
mask_oracle_group,R1128,contact,casp15_R1128TS232_1,TS232,0.6167446374930202,casp15_R1128TS238_2,TS238,casp15_R1128TS163_1,TS163,0.0557752659366336,0.5609693715563866,False
mask_oracle_group,R1128,group_mean,casp15_R1128TS232_1,TS232,0.6167446374930202,casp15_R1128TS287_4,TS287,casp15_R1128TS287_1,TS287,0.4082507801924531,0.20849385730056713,False
mask_oracle_group,R1128,group_oracle_rate,casp15_R1128TS232_1,TS232,0.6167446374930202,casp15_R1128TS128_1,TS128,casp15_R1128TS128_3,TS128,0.0273003937787938,0.5894442437142264,False
mask_oracle_group,R1128,group_calibrated_hybrid,casp15_R1128TS232_1,TS232,0.6167446374930202,casp15_R1128TS163_1,TS163,casp15_R1128TS163_1,TS163,0.0557752659366336,0.5609693715563866,False
mask_oracle_group,R1136,hybrid,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS238_3,TS238,casp15_R1136TS238_1,TS238,0.0344501159144327,0.4244650735950296,False
mask_oracle_group,R1136,compact,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS238_3,TS238,casp15_R1136TS470_4,TS470,0.0273228724751216,0.4315923170343407,False
mask_oracle_group,R1136,low_clash,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS029_1,TS029,casp15_R1136TS245_2,TS245,0.026782384047523,0.43213280546193933,False
mask_oracle_group,R1136,contact,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS238_3,TS238,casp15_R1136TS238_1,TS238,0.0344501159144327,0.4244650735950296,False
mask_oracle_group,R1136,group_mean,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS287_1,TS287,casp15_R1136TS287_4,TS287,0.2715953452071233,0.187319844302339,False
mask_oracle_group,R1136,group_oracle_rate,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS128_1,TS128,casp15_R1136TS128_1,TS128,0.2045746199509737,0.2543405695584886,False
mask_oracle_group,R1136,group_calibrated_hybrid,casp15_R1136TS232_3,TS232,0.4589151895094623,casp15_R1136TS238_3,TS238,casp15_R1136TS238_1,TS238,0.0344501159144327,0.4244650735950296,False
mask_oracle_group,R1138,hybrid,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS238_3,TS238,casp15_R1138TS229_2,TS229,0.0376323810511412,0.1623584312330213,False
mask_oracle_group,R1138,compact,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS238_4,TS238,casp15_R1138TS229_2,TS229,0.0376323810511412,0.1623584312330213,False
mask_oracle_group,R1138,low_clash,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS029_1,TS029,casp15_R1138TS239_4,TS239,0.0322660694211106,0.1677247428630519,False
mask_oracle_group,R1138,contact,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS238_4,TS238,casp15_R1138TS238_1,TS238,0.0537723825417439,0.14621842974241858,False
mask_oracle_group,R1138,group_mean,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS287_4,TS287,casp15_R1138TS287_1,TS287,0.1448450445397913,0.05514576774437119,False
mask_oracle_group,R1138,group_oracle_rate,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS128_1,TS128,casp15_R1138TS128_1,TS128,0.1001614176447734,0.09982939463938909,False
mask_oracle_group,R1138,group_calibrated_hybrid,casp15_R1138TS232_4,TS232,0.1999908122841625,casp15_R1138TS238_3,TS238,casp15_R1138TS128_2,TS128,0.0945257976222716,0.10546501466189089,False
mask_oracle_group,R1149,hybrid,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS235_4,TS235,0.0382510436755594,0.2085367183214897,False
mask_oracle_group,R1149,compact,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS248_1,TS248,0.0706908549370631,0.17609690705998599,False
mask_oracle_group,R1149,low_clash,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS029_1,TS029,casp15_R1149TS239_4,TS239,0.0563144538836455,0.1904733081134036,False
mask_oracle_group,R1149,contact,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS235_4,TS235,0.0382510436755594,0.2085367183214897,False
