heldout_oracle_group,model,feature,importance
TS285,invariant_gbr,contact_order,0.002373201061268418
TS285,invariant_gbr,short_contact_fraction,0.006942477435215518
TS285,invariant_gbr,medium_contact_fraction,0.029739233361949814
TS285,invariant_gbr,long_contact_fraction,0.0006261901396315674
TS285,invariant_gbr,near_distance_fraction,0.0
TS285,invariant_gbr,distance_p10,0.09430522417917905
TS285,invariant_gbr,distance_p25,9.789362101475592e-05
TS285,invariant_gbr,distance_p50,0.0024943469675829284
TS285,invariant_gbr,distance_p75,0.012511124103435394
TS285,invariant_gbr,distance_p90,0.10406774102347828
TS285,invariant_gbr,local_step_mean,0.004445273102769461
TS285,invariant_gbr,local_step_std,0.0010045507633424581
TS285,invariant_gbr,local_step_max,0.0
TS285,invariant_gbr,turn_angle_mean,0.0
TS285,invariant_gbr,turn_angle_std,0.0015848113912563658
TS285,invariant_gbr,helix_like_local_fraction,0.0010430444584150701
TS285,invariant_gbr,target_z_radius_of_gyration,0.01677318316443062
TS285,invariant_gbr,target_z_end_to_end_distance,0.009419715386804077
TS285,invariant_gbr,target_z_contact_density,0.011103640778252972
TS285,invariant_gbr,target_z_long_range_contact_density,0.01661625899093719
TS285,invariant_gbr,target_z_compactness,0.020378441109031597
TS285,invariant_gbr,target_z_contact_degree_mean,0.013523747419095488
TS285,invariant_gbr,target_z_contact_degree_std,0.014167975895479332
TS285,invariant_gbr,target_z_contact_degree_max,0.00032066781827577376
TS285,invariant_gbr,target_z_contact_degree_gini,0.2396518818287068
TS285,invariant_gbr,target_z_contact_order,0.02782629851684456
TS285,invariant_gbr,target_z_distance_p50,0.030888094766454707
TS285,invariant_gbr,target_z_local_step_mean,0.006694172760802744
TS285,invariant_gbr,target_z_turn_angle_mean,0.0076355469887652615
TS285,invariant_rf,num_residues,0.00036333168886024255
TS285,invariant_rf,radius_of_gyration,0.007826318773419366
TS285,invariant_rf,end_to_end_distance,0.02500493614467353
TS285,invariant_rf,contact_density,0.004786016779376129
TS285,invariant_rf,long_range_contact_density,0.005945192968700157
TS285,invariant_rf,clashes_per_residue,2.6744823096509843e-06
TS285,invariant_rf,backbone_break_fraction,0.0003719503631580214
TS285,invariant_rf,compactness,0.003609033906042739
TS285,invariant_rf,score_contact,0.006748754044286938
TS285,invariant_rf,score_low_clash,0.000411840849940759
TS285,invariant_rf,score_compact,0.004767304413062714
TS285,invariant_rf,score_hybrid,0.0007118798036373903
TS285,invariant_rf,contact_degree_mean,0.0025657825375607125
TS285,invariant_rf,contact_degree_std,0.0028759398703469435
TS285,invariant_rf,contact_degree_max,0.0004622592276474498
TS285,invariant_rf,contact_degree_gini,0.211693976436841
TS285,invariant_rf,contact_components,0.04595487224744174
TS285,invariant_rf,largest_contact_component_fraction,0.0033939096013212034
TS285,invariant_rf,contact_edge_span_mean,0.02707121533825503
TS285,invariant_rf,contact_edge_span_std,0.030516561980683008
TS285,invariant_rf,contact_order,0.01676664544636516
TS285,invariant_rf,short_contact_fraction,0.003649013247888354
TS285,invariant_rf,medium_contact_fraction,0.0488708718912177
